Status,CreditGrade,Amount,Age,InterestRate
Current,HR,3000,2,0.1697
Current,HR,1000,1,0.1995
Current,HR,2500,7,0.2875
Current,HR,3000,5,0.2895
Current,HR,3330,1,0.29
Current,HR,1000,7,0.245
Current,HR,1325,1,0.29
Current,HR,2550,3,0.1745
Current,HR,1000,2,0.22
Current,HR,2800,3,0.22
Current,HR,3600,2,0.2
Current,HR,4000,2,0.28
Current,HR,1000,2,0.15
Current,HR,2000,1,0.23
Current,HR,1000,1,0.29
Current,HR,1500,1,0.285
Current,HR,1550,1,0.22
Current,HR,3000,1,0.27
Current,HR,1500,3,0.1875
Default,B,15000,8,0.175
Late,B,8000,5,0.22
Late,HR,3500,3,0.19
Late,B,8000,4,0.15
Late,E,3250,5,0.26
Late,C,20000,6,0.1575
Late,HR,1500,6,0.1575
Late,HR,3001,9,0.3575
Late,B,8000,6,0.1593
Late,E,4600,6,0.26
Late,HR,3000,8,0.2375
Current,AA,15000,10,0.086
Current,AA,5000,11,0.08
Current,AA,5000,10,0.0695
Current,D,4000,8,0.225
Current,E,1400,10,0.1575
Current,HR,1000,8,0.2375
Current,HR,3000,10,0.2625
Late,D,10000,9,0.2275
Current,A,25000,11,0.0997
Current,B,5000,8,0.1575
Current,D,5550,8,0.2375
Current,E,2700,10,0.15
Current,HR,1000,9,0.12
Default,C,6001,11,0.2275
Late,D,3001,9,0.21
Current,C,6727,8,0.1995
Current,C,5000,9,0.15
Current,B,6100,9,0.12
Current,B,15700,9,0.1325
Current,A,10000,12,0.05
Current,C,6000,8,0.15
Current,D,3000,8,0.2075
Current,E,3000,10,0.1775
Current,B,3001,9,0.2375
Current,B,4100,9,0.125
Default,E,7100,10,0.36
Current,B,6001,10,0.1095
Current,C,10000,10,0.155
Late,C,4000,8,0.2375
Current,A,12500,8,0.15
Current,A,8500,3,0.109
Current,A,7000,3,0.115
Current,A,3000,3,0.0834
Current,A,3850,3,0.085
Current,A,25000,1,0.1265
Current,A,4800,1,0.082
Current,A,25000,1,0.105
Current,AA,4000,1,0.0774
Current,AA,5050,7,0.0899
Current,AA,1525,1,0.0715
Current,AA,5000,1,0.084
Current,AA,9900,1,0.0799
Current,AA,4500,1,0.079
Current,AA,2025,1,0.08
Current,AA,4500,1,0.082
Current,AA,7495,5,0.11
Current,AA,10000,5,0.125
Current,AA,10000,7,0.1038
Current,AA,6300,7,0.087
Current,AA,10000,2,0.0894
Current,AA,10000,5,0.092
Current,AA,10000,3,0.17
Current,AA,3000,5,0.086
Current,AA,15000,6,0.0904
Current,AA,2000,8,0.08
Current,AA,2000,7,0.0892
Current,AA,8998,8,0.0995
Current,B,12000,2,0.12
Current,B,2000,7,0.1699
Current,B,6500,5,0.1199
Current,B,3500,4,0.12
Current,B,5000,8,0.15
Current,B,4000,6,0.1023
Current,B,1000,5,0.09
Current,B,7500,1,0.1071
Current,B,5000,4,0.11
Current,B,1200,5,0.0845
Current,B,10000,5,0.11
Current,B,13300,2,0.15
Current,B,5000,2,0.12
Current,B,4500,2,0.0944
Current,B,7000,1,0.12
Current,B,25000,9,0.1775
Current,B,2550,1,0.125
Current,B,7500,1,0.2
Current,C,7500,1,0.1335
Current,C,12500,2,0.165
Current,C,10100,4,0.1675
Current,C,7000,8,0.21
Current,C,8000,6,0.1525
Current,C,5000,2,0.14
Current,C,3220,5,0.1272
Current,C,3000,6,0.158
Current,C,1650,6,0.15
Current,C,7300,4,0.155
Current,C,1750,4,0.11
Current,C,3000,5,0.145
Current,C,5000,5,0.163
Current,C,5500,6,0.1475
Current,C,4500,3,0.14
Current,C,12500,3,0.1855
Current,C,2750,8,0.16
Current,C,5000,5,0.16
Current,C,7000,3,0.165
Current,C,2550,3,0.13
Current,C,5000,8,0.23
Current,D,2550,8,0.22
Current,D,4600,6,0.15
Current,D,8000,5,0.245
Current,D,3000,6,0.25
Current,D,6001,5,0.22
Current,D,2500,3,0.22
Current,D,2500,4,0.17
Current,D,7000,8,0.2875
Current,D,2000,5,0.1665
Current,D,6500,6,0.215
Current,D,1000,6,0.135
Current,D,1000,6,0.17
Current,D,13000,1,0.2019
Current,D,7000,4,0.1714
Current,D,5000,6,0.262
Current,D,5000,6,0.26
Current,D,1900,7,0.1775
Current,D,3500,2,0.2
Current,D,7500,7,0.1775
Current,D,6100,6,0.1995
Current,D,4000,3,0.222
Current,D,3000,2,0.2
Current,D,2550,6,0.215
Current,D,3000,3,0.18
Current,D,4000,1,0.16
Current,D,6001,3,0.2195
Current,D,6500,1,0.165
Current,D,5400,2,0.222
Current,D,5100,2,0.2899
Current,D,15000,1,0.24
Current,D,7500,1,0.24
Current,D,9000,1,0.1644
Current,D,2000,1,0.179
Current,D,2000,1,0.2
Current,E,8000,1,0.29
Current,E,4500,6,0.1575
Current,E,2550,1,0.29
Current,E,9000,5,0.2
Current,E,3000,2,0.29
Current,E,2550,1,0.27
Current,E,4200,1,0.24
Current,E,2550,4,0.29
Current,E,3500,2,0.29
Current,E,1000,4,0.23
Current,E,3500,5,0.25
Current,E,1300,7,0.15
Current,E,3000,1,0.1998
Current,E,6001,1,0.22
Current,E,1000,7,0.2475
Current,E,3000,5,0.247
Current,E,3100,5,0.28
Current,E,2000,7,0.2293
Current,E,1000,6,0.1775
Current,E,16000,3,0.29
Current,E,9500,7,0.1775
Current,E,11250,11,0.1525
Current,E,2000,3,0.2889
Current,E,3000,4,0.29
Current,E,3000,4,0.255
Current,E,4500,5,0.2675
Current,E,3000,4,0.29
Current,E,1025,1,0.17
Current,E,3200,1,0.1902
Current,E,1500,1,0.16
Current,HR,1200,7,0.235
Current,HR,1500,5,0.29
Current,HR,2000,2,0.29
Current,HR,6100,4,0.29
Current,HR,1150,7,0.275
Current,HR,1200,4,0.29
Current,HR,1450,7,0.2075
Current,HR,6000,6,0.1775
Current,HR,1000,7,0.2475
Current,HR,1200,5,0.29
Current,HR,1800,4,0.29
Current,HR,1000,0,0.2
Current,HR,10001,3,0.19
Current,HR,2000,3,0.29
Current,HR,1000,3,0.15
Current,HR,3000,3,0.29
Current,HR,15000,1,0.06
Current,HR,1800,3,0.17
Current,HR,1000,2,0.24
Current,HR,1000,2,0.29
Current,HR,2550,2,0.24
Current,HR,3200,1,0.2295
Current,HR,2500,1,0.29
Current,HR,2200,1,0.29
Default,E,8000,9,0.3
Late,E,3001,6,0.22
Late,E,7500,5,0.28
Late,HR,6001,7,0.2375
Late,B,25000,8,0.1575
Late,E,2811,4,0.29
Late,A,7000,8,0.19
Late,E,4000,6,0.2875
Late,B,20500,5,0.15
Late,HR,3100,2,0.29
Current,A,2536,9,0.0825
Current,B,2900,9,0.12
Current,HR,1000,10,0.1575
Default,E,5050,9,0.2375
Default,HR,2600,9,0.34
Late,HR,5000,12,0.14
Current,A,1000,9,0.08
Current,A,3001,9,0.095
Current,AA,6500,10,0.0825
Current,C,10000,10,0.15
Late,B,25000,9,0.17
Current,A,1000,9,0.0895
Current,E,2300,10,0.155
Late,E,2500,10,0.2075
Current,E,2750,10,0.239
Late,HR,3000,8,0.2375
Current,D,10000,11,0.1375
Current,AA,8500,11,0.075
Current,B,5000,11,0.19
Current,B,1500,8,0.1
Current,B,19750,9,0.14
Current,D,3000,10,0.15
Late,AA,13000,10,0.1
Current,AA,9000,10,0.075
Current,B,1000,9,0.0885
Current,HR,1000,10,0.1175
Late,D,12000,8,0.2375
Current,A,6000,3,0.09
Current,A,5000,7,0.1
Current,A,1000,6,0.07
Current,A,2500,1,0.09
Current,A,2500,3,0.1038
Current,A,6001,1,0.1025
Current,A,6500,1,0.09
Current,A,4400,1,0.085
Current,A,2330,1,0.0785
Current,AA,12000,0,0.085
Current,AA,10000,3,0.1137
Current,AA,2500,1,0.075
Current,AA,5000,1,0.0825
Current,AA,3000,7,0.078
Current,AA,15000,3,0.1
Current,AA,2500,4,0.08
Current,AA,6001,7,0.0911
Current,AA,17000,5,0.1
Current,AA,25000,5,0.1199
Current,AA,25000,7,0.1025
Current,AA,7500,9,0.0855
Current,AA,25000,2,0.11
Current,AA,1500,4,0.0795
Current,AA,14000,7,0.117
Current,AA,2500,7,0.0875
Current,AA,2000,6,0.0795
Current,AA,9000,6,0.0995
Current,B,2550,2,0.0999
Current,B,3500,5,0.105
Current,B,15000,5,0.1399
Current,B,3000,3,0.1085
Current,B,8500,5,0.13
Current,B,18000,4,0.155
Current,B,3000,3,0.1295
Current,B,8000,3,0.122
Current,B,12000,2,0.1295
Current,B,5000,4,0.15
Current,B,4700,1,0.1
Current,B,1700,5,0.099
Current,B,6700,4,0.084
Current,B,6000,1,0.1448
Current,C,3500,8,0.153
Current,C,20000,1,0.174
Current,C,23000,1,0.165
Current,C,12000,4,0.25
Current,C,12000,4,0.1742
Current,C,7000,6,0.1575
Current,C,6000,5,0.145
Current,C,9500,4,0.1469
Current,C,10000,6,0.19
Current,C,2000,1,0.1175
Current,C,11000,6,0.1222
Current,C,4500,8,0.18
Current,C,3300,1,0.11
Current,C,1000,3,0.13
Current,C,3000,4,0.174
Current,C,5000,6,0.158
Current,C,8000,7,0.23
Current,C,10000,2,0.1793
Current,C,3000,8,0.155
Current,C,3400,4,0.143
Current,C,3000,3,0.158
Current,C,4000,7,0.145
Current,D,2000,4,0.15
Current,D,2500,2,0.2
Current,D,1090,7,0.199
Current,D,3001,8,0.211
Current,D,5000,6,0.26
Current,D,5000,5,0.2484
Current,D,3000,3,0.22
Current,D,10000,3,0.28
Current,D,3000,8,0.22
Current,D,1500,5,0.1355
Current,D,15736,3,0.23
Current,D,5000,5,0.181
Current,D,3500,1,0.22
Current,D,6500,1,0.2
Current,D,9200,5,0.1645
Current,D,6000,4,0.17
Current,D,7500,4,0.2
Current,D,3000,3,0.18
Current,D,2500,8,0.175
Current,D,1000,5,0.1495
Current,D,3000,6,0.1575
Current,D,3500,1,0.15
Current,D,2000,5,0.195
Current,D,5000,2,0.1845
Current,D,1000,2,0.215
Current,D,7000,6,0.24
Current,D,10000,2,0.192
Current,D,8750,2,0.2575
Current,D,3500,1,0.2
Current,D,1000,1,0.15
Current,D,2359,1,0.2
Current,D,5000,1,0.167
Current,E,2550,2,0.27
Current,E,2000,7,0.27
Current,E,2600,1,0.1985
Current,E,3000,2,0.29
Current,E,3000,1,0.26
Current,E,4000,1,0.25
Current,E,4000,2,0.264
Current,E,1100,2,0.2
Current,E,1000,0,0.17
Current,E,4600,3,0.2088
Current,E,2550,1,0.29
Current,E,1600,2,0.1805
Current,E,4000,2,0.27
Current,E,4000,3,0.29
Current,E,3001,1,0.24
Current,E,3500,4,0.275
Current,E,3000,3,0.255
Current,E,3500,3,0.29
Current,E,4900,4,0.26
Current,E,4000,5,0.28
Current,E,3000,4,0.283
Current,E,1400,6,0.1775
Current,E,5500,1,0.28
Current,E,1000,7,0.1925
Current,E,2200,6,0.25
Current,E,3000,5,0.234
Current,E,2990,6,0.28
Current,E,8000,6,0.199
Current,E,5000,8,0.229
Current,E,2550,8,0.2
Current,E,3000,6,0.2665
Current,E,3000,5,0.2825
Current,E,2000,8,0.2375
Current,E,1000,4,0.23
Current,E,3000,5,0.29
Current,E,3000,5,0.29
Current,E,2500,5,0.25
Current,E,2500,6,0.175
Current,E,2550,7,0.25
Current,E,1000,5,0.25
Current,E,1000,3,0.185
Current,E,2000,3,0.1925
Current,E,4500,4,0.2325
Current,HR,1000,3,0.095
Current,HR,2679,5,0.18
Current,HR,1000,7,0.1775
Current,HR,1200,8,0.2375
Current,HR,5000,7,0.12
Current,HR,1025,7,0.2475
Current,HR,2550,5,0.29
Current,HR,1000,4,0.29
Current,HR,1000,5,0.2123
Current,HR,2550,6,0.29
Current,HR,1000,7,0.2625
Current,HR,3000,6,0.2
Current,HR,2000,8,0.1575
Current,HR,1500,6,0.2475
Current,HR,2100,3,0.24
Current,HR,2550,3,0.29
Current,HR,2000,3,0.2725
Current,HR,3000,4,0.29
Current,HR,2500,3,0.19
Current,HR,5000,4,0.19
Current,HR,6001,2,0.23
Current,HR,2000,1,0.17
Current,HR,1000,7,0.24
Current,HR,1500,7,0.25
Current,HR,3035,5,0.15
Current,HR,3000,2,0.29
Current,HR,2500,2,0.15
Current,HR,3001,1,0.2895
Current,HR,1200,2,0.2
Current,HR,7000,2,0.235
Current,HR,1000,1,0.29
Current,HR,3001,5,0.275
Current,HR,1000,5,0.24
Current,HR,1000,4,0.15
Current,NC,1600,5,0.17
Default,D,6000,9,0.2275
Late,E,2500,8,0.2375
Late,E,3600,5,0.24
Late,E,1500,5,0.29
Late,HR,3800,5,0.29
Late,HR,2600,3,0.29
Late,HR,1000,7,0.2075
Late,E,2500,6,0.23
Late,E,3500,5,0.235
Late,E,6000,7,0.2875
Late,HR,1025,5,0.29
Late,HR,5000,7,0.2875
Late,D,3000,6,0.1575
Late,E,8000,6,0.28
Late,E,4000,4,0.29
Late,HR,1500,5,0.2875
Current,A,3001,10,0.15
Current,HR,8500,11,0.1325
Default,HR,6500,9,0.3
Late,E,3000,9,0.2375
Current,A,1500,8,0.0775
Current,B,6000,8,0.1545
Current,C,4500,8,0.1475
Current,D,7000,11,0.1375
Current,D,3000,11,0.145
Current,HR,1000,8,0.2075
Current,A,8000,8,0.1033
Current,B,7000,9,0.1225
Current,D,3031,9,0.3
Current,D,2600,8,0.2375
Current,HR,2600,9,0.3575
Default,C,10100,8,0.18
Current,AA,25000,9,0.1235
Current,B,5000,10,0.15
Current,B,4000,10,0.1185
Current,C,2000,8,0.15
Current,C,5000,9,0.149
Current,A,14000,8,0.114
Current,C,6500,8,0.16
Current,E,2500,8,0.2375
Current,B,3000,10,0.0945
Current,C,3001,9,0.132
Current,D,3400,10,0.132
Current,A,18000,9,0.15
Current,A,15000,9,0.1075
Current,C,3750,10,0.23
Current,E,3000,8,0.2375
Current,HR,1500,8,0.2375
Default,B,5000,9,0.109
Late,E,3001,8,0.2375
Late,E,4500,9,0.2375
Current,HR,2900,8,0.2375
Default,E,2750,9,0.2375
Late,HR,5000,9,0.35
Current,A,5000,4,0.149
Current,A,1000,5,0.08
Current,A,10000,3,0.0999
Current,A,9000,1,0.1225
Current,A,2550,3,0.11
Current,A,3000,6,0.0822
Current,AA,3000,1,0.0799
Current,AA,19000,1,0.09
Current,AA,5000,8,0.0875
Current,AA,4450,5,0.0805
Current,AA,25000,1,0.1038
Current,AA,20000,7,0.15
Current,AA,15000,8,0.1238
Current,AA,25000,8,0.13
Current,AA,20000,7,0.12
Current,AA,1000,4,0.0838
Current,AA,5000,1,0.077
Current,B,2500,6,0.14
Current,B,5000,6,0.155
Current,B,9000,5,0.15
Current,B,3001,5,0.134
Current,B,3001,5,0.138
Current,B,2000,4,0.14
Current,B,2000,3,0.0925
Current,B,5000,7,0.11
Current,B,6001,6,0.14
Current,B,4000,2,0.1159
Current,B,7000,4,0.145
Current,B,2000,3,0.1399
Current,B,11500,2,0.135
Current,B,20000,4,0.19
Current,B,1000,6,0.0875
Current,B,8000,2,0.16
Current,B,15000,1,0.16
Current,B,6500,7,0.14
Current,B,3300,1,0.13
Current,C,6000,1,0.15
Current,C,5000,1,0.225
Current,C,3500,4,0.1488
Current,C,4000,3,0.1385
Current,C,4000,3,0.25
Current,C,3000,3,0.17
Current,C,4000,1,0.15
Current,C,6001,4,0.1735
Current,C,5000,1,0.17
Current,C,1000,4,0.15
Current,C,6000,6,0.2075
Current,C,3200,5,0.15
Current,C,8500,6,0.168
Current,C,2600,5,0.12
Current,C,4000,8,0.18
Current,C,1850,8,0.165
Current,C,4500,4,0.141
Current,C,9600,4,0.148
Current,C,13000,7,0.18
Current,C,7000,8,0.1575
Current,C,10000,1,0.1568
Current,C,5100,5,0.1875
Current,C,10000,6,0.18
Current,C,4000,7,0.149
Current,C,4000,7,0.17
Current,D,7000,3,0.225
Current,D,5000,2,0.195
Current,D,3000,6,0.26
Current,D,4000,3,0.2
Current,D,9900,2,0.2
Current,D,4175,6,0.2125
Current,D,4999,4,0.1595
Current,D,8925,5,0.23
Current,D,1900,6,0.1799
Current,D,1500,5,0.16
Current,D,6200,6,0.16
Current,D,5000,5,0.17
Current,D,10001,3,0.2195
Current,D,3000,7,0.2585
Current,D,2500,3,0.15
Current,D,3000,4,0.1819
Current,D,1025,1,0.1499
Current,D,9000,6,0.21
Current,D,4500,3,0.2333
Current,D,7500,5,0.18
Current,D,3000,3,0.2
Current,D,2500,2,0.2
Current,D,9825,3,0.2865
Current,D,12500,2,0.2
Current,D,5000,2,0.205
Current,D,3000,2,0.205
Current,D,2500,1,0.1239
Current,D,3000,0,0.185
Current,E,3500,4,0.249
Current,E,3000,1,0.26
Current,E,3001,2,0.23
Current,E,1495,2,0.24
Current,E,3000,1,0.197
Current,E,3000,2,0.2621
Current,E,1800,7,0.1575
Current,E,1600,1,0.18
Current,E,2000,4,0.24
Current,E,3000,3,0.22
Current,E,5099,1,0.26
Current,E,6001,1,0.23
Current,E,1200,1,0.167
Current,E,3050,7,0.285
Current,E,1391,7,0.25
Current,E,2800,8,0.23
Current,E,1425,3,0.1845
Current,E,1700,3,0.23
Current,E,2550,1,0.27
Current,E,3000,7,0.25
Current,E,1000,1,0.14
Current,E,1900,6,0.2475
Current,E,3000,4,0.2895
Current,E,3500,5,0.29
Current,E,3000,5,0.218
Current,E,2000,5,0.29
Current,E,2550,5,0.29
Current,E,1000,5,0.25
Current,E,2000,5,0.2244
Current,E,2551,6,0.2875
Current,E,2000,6,0.0875
Current,E,4250,4,0.29
Current,E,3000,3,0.287
Current,HR,1000,6,0.2875
Current,HR,1000,5,0.26
Current,HR,1000,4,0.25
Current,HR,1500,1,0.1945
Current,HR,1200,7,0.2475
Current,HR,2550,6,0.2825
Current,HR,1200,6,0.2875
Current,HR,3200,4,0.29
Current,HR,2550,7,0.28
Current,HR,2600,5,0.2963
Current,HR,2000,6,0.2475
Current,HR,3000,1,0.29
Current,HR,1000,3,0.29
Current,HR,7500,2,0.195
Current,HR,2025,1,0.1925
Current,HR,3500,2,0.29
Current,HR,1000,1,0.29
Current,HR,1000,2,0.05
Current,HR,1300,8,0.2375
Current,HR,6001,3,0.22
Current,HR,2500,1,0.205
Current,HR,1000,2,0.045
Current,HR,2500,2,0.11
Current,HR,1000,2,0.15
Current,HR,1000,2,0.17
Current,HR,1500,1,0.2
Current,HR,8000,3,0.2725
Current,HR,3500,2,0.29
Current,HR,1500,1,0.29
Default,HR,3000,7,0.28
Late,E,3001,7,0.284
Late,E,2500,4,0.29
Late,E,3300,5,0.29
Late,HR,4500,5,0.29
Late,HR,5100,7,0.29
Late,HR,2000,4,0.23
Late,D,1500,7,0.14
Late,E,3000,5,0.29
Late,C,5000,7,0.233
Late,D,7000,6,0.26
Late,HR,1000,5,0.29
Late,NC,3300,5,0.29
Late,HR,1200,4,0.29
Late,NC,2000,4,0.29
Current,D,9999,9,0.25
Late,E,5000,9,0.35
Current,C,1000,8,0.1575
Current,C,8500,8,0.16
Current,AA,3500,10,0.0752
Current,C,3500,8,0.16
Default,C,2000,9,0.23
Default,HR,3000,10,0.3575
Current,A,4000,9,0.0922
Current,AA,12500,11,0.0625
Current,B,1200,10,0.09
Current,E,15000,8,0.2275
Current,D,3000,9,0.23
Current,E,1000,8,0.2375
Current,HR,1500,10,0.22
Current,HR,2000,10,0.1575
Late,B,10000,8,0.23
Current,AA,5000,11,0.06
Current,C,3000,10,0.105
Current,E,3500,8,0.2375
Current,A,2000,8,0.108
Current,D,3000,8,0.2375
Current,D,7500,8,0.2375
Late,D,3700,9,0.2
Current,AA,14950,10,0.075
Current,AA,10200,9,0.0995
Current,D,6000,9,0.25
Current,E,3000,8,0.2375
Current,A,12000,5,0.1141
Current,A,3000,5,0.109
Current,A,10000,5,0.18
Current,A,4500,1,0.0824
Current,A,7000,6,0.119
Current,A,5000,2,0.105
Current,A,6000,6,0.1076
Current,A,9000,2,0.1025
Current,A,5000,3,0.09
Current,A,3099,1,0.09
Current,AA,6000,2,0.087
Current,AA,9500,4,0.0962
Current,AA,18500,2,0.1075
Current,AA,5000,4,0.0849
Current,AA,10001,8,0.0883
Current,AA,10000,4,0.1565
Current,AA,15000,8,0.1163
Current,AA,5000,4,0.0912
Current,AA,3000,7,0.16
Current,AA,3000,1,0.07
Current,AA,3000,5,0.085
Current,B,2500,10,0.15
Current,B,2550,4,0.1324
Current,B,3000,6,0.125
Current,B,7500,7,0.132
Current,B,10000,4,0.119
Current,B,5700,5,0.145
Current,B,5000,5,0.1095
Current,B,10000,2,0.16
Current,B,15500,4,0.1423
Current,C,5000,4,0.14
Current,C,10000,1,0.13
Current,C,5750,2,0.075
Current,C,3350,1,0.1275
Current,C,1000,3,0.0995
Current,C,6001,3,0.18
Current,C,4000,6,0.16
Current,C,5500,8,0.155
Current,C,4500,8,0.155
Current,C,25000,6,0.09
Current,C,3500,4,0.14
Current,C,4000,7,0.15
Current,C,3001,5,0.158
Current,C,1000,6,0.0775
Current,C,3001,6,0.15
Current,C,10000,5,0.15
Current,C,2105,1,0.15
Current,C,5000,4,0.145
Current,C,2880,5,0.16
Current,C,4674,5,0.19
Current,C,3000,5,0.128
Current,C,15000,6,0.1775
Current,C,3000,6,0.16
Current,C,3500,8,0.221
Current,C,2000,4,0.133
Current,D,5000,3,0.194
Current,D,3000,3,0.1945
Current,D,1000,8,0.1575
Current,D,3000,6,0.1775
Current,D,2550,3,0.23
Current,D,3000,8,0.1575
Current,D,5000,7,0.1493
Current,D,5000,6,0.1775
Current,D,4450,6,0.25
Current,D,9000,4,0.24
Current,D,5000,7,0.2095
Current,D,7000,7,0.17
Current,D,8000,5,0.26
Current,D,4600,3,0.17
Current,D,8000,5,0.2364
Current,D,10000,7,0.22
Current,D,12500,1,0.17
Current,D,4000,2,0.17
Current,D,4500,3,0.21
Current,D,2550,2,0.2
Current,D,7000,2,0.18
Current,D,2500,1,0.17
Current,D,6001,4,0.2175
Current,D,2500,4,0.1675
Current,D,10000,1,0.27
Current,E,2550,1,0.21
Current,E,5000,1,0.24
Current,E,2000,1,0.27
Current,E,2500,1,0.17
Current,E,3300,11,0.15
Current,E,3500,1,0.24
Current,E,2000,1,0.24
Current,E,4000,2,0.29
Current,E,6500,1,0.21
Current,E,3001,3,0.232
Current,E,1700,3,0.2
Current,E,12000,3,0.23
Current,E,1000,2,0.1883
Current,E,2000,1,0.225
Current,E,2750,6,0.24
Current,E,1800,1,0.182
Current,E,2000,4,0.23
Current,E,5000,2,0.29
Current,E,4000,3,0.279
Current,E,3800,4,0.169
Current,E,3000,4,0.2
Current,E,3500,4,0.27
Current,E,6200,6,0.2375
Current,E,2900,6,0.28
Current,E,3000,7,0.1875
Current,E,2000,7,0.2575
Current,E,8000,3,0.19
Current,E,2000,3,0.204
Current,E,2203,3,0.22
Current,E,3000,5,0.24
Current,E,2000,6,0.2075
Current,E,3000,6,0.2875
Current,E,10000,2,0.27
Current,E,3000,3,0.29
Current,E,20000,2,0.29
Current,E,2800,4,0.29
Current,E,3500,4,0.285
Current,E,3000,6,0.2743
Current,E,4000,7,0.1888
Current,E,1600,7,0.2475
Current,E,7500,2,0.27
Current,E,1200,3,0.23
Current,HR,2750,6,0.28
Current,HR,1600,3,0.16
Current,HR,2500,6,0.2875
Current,HR,3500,5,0.29
Current,HR,3031,5,0.29
Current,HR,1500,3,0.26
Current,HR,1500,4,0.25
Current,HR,1025,4,0.11
Current,HR,2000,1,0.22
Current,HR,2550,3,0.2895
Current,HR,3700,2,0.17
Current,HR,4000,3,0.28
Current,HR,2500,2,0.23
Current,HR,1000,1,0.175
Current,HR,3750,1,0.22
Current,HR,2500,2,0.29
Current,HR,1000,1,0.2
Current,HR,1000,1,0.1675
Current,HR,1000,1,0.15
Current,HR,2600,1,0.29
Current,HR,1000,1,0.2
Current,HR,1500,1,0.285
Late,E,10001,5,0.29
Late,HR,3000,6,0.2875
Late,B,3000,6,0.127
Late,C,6000,5,0.2295
Late,D,6000,6,0.24
Late,E,5000,2,0.29
Late,E,3000,4,0.29
Late,HR,3000,5,0.19
Late,HR,1200,2,0.15
Current,A,5000,9,0.1
Current,A,1000,8,0.131
Current,D,2600,9,0.1995
Current,E,5000,10,0.27
Late,E,5000,9,0.35
Current,A,10500,10,0.0885
Current,D,3000,8,0.1795
Default,B,10000,11,0.1115
Default,HR,3001,8,0.2375
Late,E,7000,8,0.2375
Current,B,15000,8,0.1425
Current,D,2000,8,0.1895
Late,E,6001,9,0.2375
Current,B,7000,11,0.117
Current,E,1000,8,0.18
Current,A,10000,8,0.0985
Default,B,15001,9,0.1425
Current,D,6000,8,0.2375
Current,C,6500,10,0.146
Current,C,5000,8,0.155
Late,E,3001,8,0.23
Current,A,4000,6,0.107
Current,A,4200,7,0.0925
Current,A,6001,5,0.1002
Current,A,25000,8,0.115
Current,A,2000,1,0.09
Current,A,8000,6,0.095
Current,A,2000,6,0.1
Current,A,10000,3,0.169
Current,A,2025,5,0.0895
Current,A,3000,2,0.1
Current,A,6000,2,0.11
Current,A,4000,7,0.0992
Current,AA,5000,1,0.082
Current,AA,1000,6,0.0775
Current,AA,7800,1,0.085
Current,AA,22000,1,0.145
Current,AA,10001,4,0.0959
Current,AA,4400,1,0.0815
Current,AA,3033,3,0.08
Current,AA,10000,5,0.0969
Current,AA,10001,5,0.1375
Current,AA,3000,6,0.08
Current,AA,25000,8,0.1438
Current,AA,22000,5,0.1065
Current,AA,5000,3,0.115
Current,AA,1500,4,0.08
Current,AA,16000,8,0.1825
Current,B,10000,3,0.15
Current,B,11000,7,0.129
Current,B,5000,5,0.16
Current,B,2500,5,0.121
Current,B,1000,4,0.115
Current,B,5000,4,0.1145
Current,B,7000,3,0.138
Current,B,6001,4,0.123
Current,B,1500,5,0.1075
Current,B,5000,7,0.115
Current,B,6000,7,0.14
Current,B,4000,5,0.1065
Current,B,10000,3,0.183
Current,C,7700,5,0.1725
Current,C,2550,2,0.143
Current,C,16500,2,0.1498
Current,C,3000,2,0.14
Current,C,5000,4,0.1394
Current,C,3500,1,0.14
Current,C,5000,4,0.16
Current,C,2500,6,0.1175
Current,C,5000,3,0.143
Current,C,10000,4,0.1925
Current,C,5000,5,0.139
Current,C,6000,3,0.17
Current,C,4600,5,0.12
Current,C,5000,5,0.18
Current,C,7000,4,0.17
Current,C,5000,5,0.2
Current,C,5000,5,0.225
Current,D,4500,1,0.1785
Current,D,2500,7,0.199
Current,D,5000,8,0.2075
Current,D,3000,6,0.2075
Current,D,5000,5,0.25
Current,D,10000,5,0.19
Current,D,2500,5,0.1495
Current,D,8250,5,0.25
Current,D,3800,5,0.22
Current,D,7800,1,0.22
Current,D,5500,3,0.195
Current,D,3000,8,0.1625
Current,D,2000,2,0.16
Current,D,3100,2,0.196
Current,D,1875,2,0.1845
Current,D,1800,6,0.1175
Current,D,2000,8,0.19
Current,D,10101,7,0.2875
Current,D,1550,6,0.17
Current,D,6001,6,0.2375
Current,D,2750,4,0.2
Current,D,3000,4,0.2
Current,D,3000,7,0.2715
Current,D,9400,5,0.175
Current,D,1500,3,0.17
Current,D,5000,6,0.2875
Current,D,5000,5,0.2105
Current,D,8000,3,0.2
Current,D,5000,3,0.222
Current,D,3000,8,0.15
Current,D,7000,1,0.2
Current,D,2000,2,0.22
Current,D,6000,1,0.23
Current,D,6001,8,0.202
Current,D,3001,7,0.1795
Current,D,5000,1,0.212
Current,E,6000,1,0.29
Current,E,2500,1,0.24
Current,E,3000,1,0.23
Current,E,1300,1,0.17
Current,E,3500,1,0.27
Current,E,2500,1,0.24
Current,E,2600,7,0.23
Current,E,4400,1,0.15
Current,E,3500,1,0.23
Current,E,1000,2,0.2
Current,E,2500,6,0.184
Current,E,3000,3,0.29
Current,E,6500,4,0.29
Current,E,8000,3,0.27
Current,E,5000,3,0.19
Current,E,2000,5,0.29
Current,E,3000,3,0.2715
Current,E,5000,1,0.29
